# Sensor Coronel Sur, Chile (Sistema Nacional de Calidad del Aire en Chile/816)
# https://aqicn.org/station/@500230/
# Daily so2
date,min,max,median,q1,q3,stdev,count
2025-02-21T00:00:00.000Z,1,2.5,1,1,1.08,0.322,24
2025-02-22T00:00:00.000Z,1,1.84,1,1,1,0.168,24
2025-02-23T00:00:00.000Z,1,1,1,1,1,0,24
2025-03-03T00:00:00.000Z,1,1,1,1,1,0,24
2025-03-04T00:00:00.000Z,1,1.22,1,1,1,0.044,24
2025-03-05T00:00:00.000Z,1,3.73,1,1,1,0.569,22
2025-03-06T00:00:00.000Z,1,1,1,1,1,0,5
2025-03-07T00:00:00.000Z,1,1,1,1,1,0,20
2025-03-08T00:00:00.000Z,1,9.32,1,1,1,1.783,24
2025-03-09T00:00:00.000Z,1,1,1,1,1,0,24
2025-03-10T00:00:00.000Z,1,1.81,1,1,1,0.162,24
2025-03-11T00:00:00.000Z,1,1.89,1,1,1.2,0.276,24
2025-03-12T00:00:00.000Z,1,2.62,1,1,1.13,0.419,24
2025-03-13T00:00:00.000Z,1,51.41,1,1,2.13,10.026,24
2025-03-14T00:00:00.000Z,1,9.52,1,1,1,1.951,24
2025-03-15T00:00:00.000Z,1,1,1,1,1,0,24
2025-03-16T00:00:00.000Z,1,1,1,1,1,0,22
2025-03-24T00:00:00.000Z,1,1,1,1,1,0,4
2025-03-25T00:00:00.000Z,1,2.42,1,1,1,0.314,24
2025-03-26T00:00:00.000Z,1,1,1,1,1,0,23
2025-03-27T00:00:00.000Z,1,1,1,1,1,0,9
2025-03-28T00:00:00.000Z,1,1,1,1,1,0,20
2025-03-29T00:00:00.000Z,1,1,1,1,1,0,24
2025-03-30T00:00:00.000Z,1,1,1,1,1,0,23
2025-03-31T00:00:00.000Z,0,2.27,1,1,1,0.33,24
2025-04-01T00:00:00.000Z,0,1.45,1,1,1,0.236,24
2025-04-02T00:00:00.000Z,1,1.41,1,1,1,0.116,24
2025-04-03T00:00:00.000Z,1,132.38,1.09,1,2.15,26.15,24
2025-04-04T00:00:00.000Z,1.61,7.43,2.38,2.04,2.99,1.215,24
2025-04-05T00:00:00.000Z,1.1,2.57,1.51,1.44,1.66,0.404,24
2025-04-06T00:00:00.000Z,1.18,1.57,1.36,1.29,1.44,0.092,22
2025-04-07T00:00:00.000Z,1.23,2.59,1.45,1.3,1.9,0.412,11
