date, pm25, pm10, o3, no2, so2, co
2024/6/28, 44, 49, 15, 13, 1, 8
2024/6/29, 93, 19, 13, 7, 1, 3
2024/6/30, 61, , , , , 
2024/1/2, 51, 26, 8, 2, 8, 2
2024/1/3, 40, 23, 7, 1, 13, 2
2024/1/4, 36, 33, 16, 4, 6, 3
2024/1/5, 57, 28, 7, 4, 1, 3
2024/1/6, 53, 11, 7, , 2, 2
2024/1/7, 25, 16, 10, 1, 6, 2
2024/1/8, 28, 29, 12, 2, 18, 2
2024/1/9, 36, 31, 11, 3, 34, 2
2024/1/10, 41, 26, 11, 2, 32, 2
2024/1/11, 33, 33, 10, 3, 29, 2
2024/1/12, 44, 24, 9, 1, 11, 2
2024/1/13, 39, 23, 8, , 7, 2
2024/1/14, 27, 24, 8, 2, 20, 2
2024/1/15, 39, 26, 7, 1, 13, 2
2024/1/16, 36, 28, 8, 2, 22, 2
2024/1/17, 39, 32, 6, 1, 12, 2
2024/1/18, 48, 35, 9, 3, 10, 2
2024/1/19, 58, 47, 11, 4, 16, 2
2024/1/20, 76, 37, 11, 1, 12, 2
2024/1/21, 72, 39, 14, 2, 9, 2
2024/1/22, 72, 45, 13, 4, 1, 3
2024/1/23, 80, 32, 11, 3, , 1
2024/1/24, 70, 43, 8, 6, 15, 
2024/1/25, 81, 39, 13, 4, 6, 2
2024/1/26, 75, 31, 16, 4, , 3
2024/1/27, 69, 35, 9, 4, 9, 2
2024/1/28, 76, 34, 13, 4, 4, 3
2024/1/29, 59, 37, 13, 6, 2, 2
2024/1/30, 52, 36, 9, 6, 16, 1
2024/1/31, 51, 36, 8, 5, 15, 1
2024/2/1, 51, 27, 5, 2, 10, 1
2024/2/2, 44, 23, 6, 1, 9, 2
2024/2/3, 35, 31, 8, 4, 24, 2
2024/2/4, 47, 41, 15, 4, 7, 2
2024/2/5, 79, 25, 8, 4, 4, 7
2024/2/6, 49, 19, 5, 2, 4, 3
2024/2/7, 33, 32, 11, 3, 17, 1
2024/2/8, 46, 36, 10, 4, 23, 1
2024/2/9, 54, 38, 10, 6, 5, 4
2024/2/10, 54, 22, 12, 3, 4, 3
2024/2/11, 41, 15, 9, 1, 18, 1
2024/2/12, 32, 29, 9, 4, 21, 1
2024/2/13, 45, 44, 18, 6, 7, 1
2024/2/14, 63, 35, 14, 4, 1, 1
2024/2/15, 52, 25, 17, 5, , 1
2024/2/16, 45, 18, 14, 2, 2, 1
2024/2/17, 35, 34, 11, 3, 14, 1
2024/2/18, 43, 33, 9, 5, 17, 1
2024/2/19, 53, 40, 10, 3, 5, 3
2024/2/20, 56, 26, 11, 3, 2, 2
2024/2/21, 42, 21, 9, 5, 2, 4
2024/2/22, 41, 17, 10, 5, 8, 3
2024/2/23, 40, 25, 9, 5, 11, 4
2024/2/24, 37, 34, 16, 5, 7, 2
2024/2/25, 52, 24, 9, 3, 11, 2
2024/2/26, 45, 23, 9, 3, 16, 2
2024/2/27, 40, 19, 8, 3, 6, 2
2024/2/28, 31, 24, 9, 2, 17, 2
2024/2/29, 40, 33, 12, 4, 13, 2
2024/3/1, 49, 31, 10, 3, 19, 2
2024/3/2, 47, 31, 11, 5, 16, 2
2024/3/3, 45, 35, 11, 3, 15, 3
2024/3/4, 56, 36, 13, 4, 9, 2
2024/3/5, 56, 31, 7, 4, 18, 2
2024/3/6, 53, 29, 12, 4, 14, 2
2024/3/7, 48, 22, 10, 5, 5, 3
2024/3/8, 31, 20, 9, 5, , 3
2024/3/9, 33, 24, 11, 4, 13, 4
2024/3/10, 48, 19, 11, 4, 7, 3
2024/3/11, 38, 23, 9, 4, 1, 4
2024/3/12, 38, 19, 10, 3, 3, 3
2024/3/13, 44, 33, 11, 4, 3, 3
2024/3/14, 77, 38, 10, 5, 19, 4
2024/3/15, 76, 34, 12, 5, 8, 4
2024/3/16, 65, 26, 12, 3, 6, 3
2024/3/17, 58, 27, 14, 5, 7, 3
2024/3/18, 59, 28, 12, 6, 12, 3
2024/3/19, 57, 27, 11, 4, 2, 24
2024/3/20, 51, 14, 10, 3, 1, 3
2024/3/21, 49, 21, 17, 4, 2, 3
2024/3/22, 58, 28, 14, 9, 1, 6
2024/3/23, 64, 16, 10, 3, 4, 3
2024/3/24, 51, 24, 9, 3, 9, 3
2024/3/25, 58, 22, 10, 4, 13, 3
2024/3/26, 53, 23, 8, 4, 15, 2
2024/3/27, 54, 27, 11, 4, 18, 3
2024/3/28, 61, 30, 13, 5, 14, 2
2024/3/29, 61, 22, 10, 3, 13, 2
2024/3/30, 52, 25, 12, 4, 8, 2
2024/3/31, 55, 23, 13, 4, 6, 3
2024/4/1, 56, 30, 13, 6, 2, 3
2023/10/2, 22, 11, 16, 4, 1, 4
2023/10/3, 35, 11, 16, 4, 1, 4
2023/10/4, 35, 21, 16, 4, 3, 5
2023/10/5, 61, 19, 16, 3, 2, 4
2023/10/6, 58, 20, 15, 5, 1, 5
2023/10/7, 54, 24, 15, 4, 8, 3
2023/10/8, 50, 19, 16, 2, 5, 3
2023/10/9, 42, 26, 16, 5, 5, 3
2023/10/10, 63, 29, 15, 3, 10, 3
2023/10/11, 53, 36, 15, 5, 15, 3
2023/10/12, 66, 43, 15, 4, 12, 3
2023/10/13, 75, 39, 16, 4, 7, 3
2023/10/14, 76, 34, 16, 3, 7, 3
2023/10/15, 74, 30, 17, 1, 7, 3
2023/10/16, 68, 34, 13, 4, 10, 2
2023/10/17, 72, 48, 16, 8, 8, 2
2023/10/18, 85, 48, 17, 5, 1, 
2023/10/19, 76, 40, 13, 5, 9, 1
2023/10/20, 82, 36, 14, 4, 14, 
2023/10/21, 71, 42, 14, 5, 4, 2
2023/10/22, 81, 35, 15, 3, 5, 
2023/10/23, 76, 31, 16, 2, 4, 
2023/10/24, 64, 39, 14, 5, 13, 
2023/10/25, 68, 43, 14, 5, 12, 
2023/10/26, 73, 33, 13, 4, 15, 
2023/10/27, 67, 19, 14, 2, 4, 5
2023/10/28, 57, 21, 18, 2, 1, 5
2023/10/29, 58, 25, 16, 5, , 3
2023/10/30, 64, 27, 15, 3, 4, 5
2023/10/31, 75, 27, 15, 4, 2, 4
2023/11/1, 74, 20, 16, 2, 2, 2
2023/11/2, 56, 22, 15, 3, 1, 3
2023/11/3, 59, 27, 13, 4, 14, 3
2023/11/4, 64, 17, 13, 2, 4, 2
2023/11/5, 43, 16, 11, 3, 1, 5
2023/11/6, 48, 24, 11, 4, , 5
2023/11/7, 61, 20, 16, 4, 7, 4
2023/11/8, 51, 22, 11, 3, 13, 2
2023/11/9, 55, 24, 13, 3, 4, 2
2023/11/10, 52, 19, 16, 3, 2, 3
2023/11/11, 45, 15, 16, 1, 1, 3
2023/11/12, 42, 20, 12, 2, 5, 3
2023/11/13, 57, 20, 12, 3, 3, 3
2023/11/14, 53, 24, 14, 3, 8, 2
2023/11/15, 54, 17, 14, 2, 2, 2
2023/11/16, 48, 20, 12, 5, , 5
2023/11/17, 53, 18, 13, 3, , 4
2023/11/18, 49, 28, 10, 5, , 4
2023/11/19, 64, 21, 13, 2, , 4
2023/11/20, 53, 10, 12, 2, 1, 6
2023/11/21, 27, 21, 12, 3, 2, 2
2023/11/22, 44, 20, 11, 3, 7, 
2023/11/23, 35, 30, 11, 5, 15, 1
2023/11/24, 52, 24, 11, 4, 6, 2
2023/11/25, 51, 21, 12, 2, 8, 2
2023/11/26, 49, 26, 12, 3, 7, 2
2023/11/27, 46, 15, 12, 2, , 2
2023/11/28, 29, 11, 13, 1, 6, 1
2023/11/29, 25, 24, 11, 3, 18, 2
2023/11/30, 41, 16, 12, 1, 3, 2
2023/12/1, 27, 10, 10, 2, , 2
2023/12/2, 22, 28, 11, 1, 10, 1
2023/12/3, 33, 22, 9, 3, 24, 2
2023/12/4, 40, 27, 11, 3, 16, 2
2023/12/5, 47, 21, 8, 2, 2, 4
2023/12/6, 37, 22, 12, 2, 9, 2
2023/12/7, 46, 23, 10, 2, 11, 2
2023/12/8, 43, 21, 10, , 15, 2
2023/12/9, 32, 22, 9, 3, 14, 2
2023/12/10, 38, 25, 10, 2, 9, 2
2023/12/11, 41, 11, 8, 1, 4, 2
2023/12/12, 20, 28, 10, 3, 8, 2
2023/12/13, 37, 31, 11, 2, 4, 2
2023/12/14, 43, 21, 11, , 1, 2
2023/12/15, 29, 17, 10, 4, 1, 4
2023/12/16, 29, 32, 12, 1, 1, 3
2023/12/17, 47, 12, 11, 1, 3, 3
2023/12/18, 37, 19, 10, 4, 18, 2
2023/12/19, 37, 25, 8, 3, 1, 4
2023/12/20, 42, 23, 13, 2, 3, 2
2023/12/21, 48, 19, 10, 1, 5, 2
2023/12/22, 42, 21, 7, 2, 14, 2
2023/12/23, 36, 19, 9, 1, 13, 2
