date, pm25, pm10, o3, no2, so2, co
2023/7/7, 66, 40, 12, 12, 19, 4
2023/7/8, 83, 30, 15, 11, 17, 3
2023/7/9, 62, 31, 13, 10, 17, 3
2023/7/10, 66, 33, 11, 11, 17, 2
2023/7/11, 66, 24, 15, 12, 19, 1
2023/7/12, 49, 16, 16, 10, 16, 11
2023/7/13, 35, 37, 9, 13, 20, 5
2023/7/14, 61, 52, 5, 14, 22, 5
2023/7/15, 91, 68, 7, 13, 20, 10
2023/7/16, 113, 56, 10, 12, 19, 5
2023/7/17, 106, 80, 2, 15, 23, 6
2023/7/18, 145, 47, 4, 19, 30, 3
2023/7/19, 82, 55, 19, 19, 30, 11
2023/7/20, 93, 46, 8, 13, 21, 4
2023/7/21, 86, 33, 3, 12, 18, 2
2023/7/22, 68, 23, 15, 9, 14, 6
2023/7/23, 93, 35, 6, 9, 15, 5
2023/7/24, 72, 41, 10, 9, 15, 5
2023/7/25, 72, 36, 11, 10, 16, 3
2023/7/26, 67, 41, 5, 10, 17, 2
2023/7/27, 75, 53, 7, 12, 19, 5
2023/7/28, 94, 57, 10, 15, 24, 5
